date,DMV_ID,is_train,stock_ev_t_obs,flow_ev_t_obs,adopt_ev_cum_t_obs,stock_ev_t_hat_fit,flow_ev_t_hat_fit,stock_ev_t_hat_anchor,flow_ev_t_hat_anchor,stock_ev_t_hat_cov_fit,flow_ev_t_hat_cov_fit,stock_ev_t_hat_cov_anchor,flow_ev_t_hat_cov_anchor,stock_ev_t_hat_cov_policy_fit,flow_ev_t_hat_cov_policy_fit,stock_ev_t_hat_cov_policy_anchor,flow_ev_t_hat_cov_policy_anchor
2020-06-01,39.0,1,15327.0,355.0,23491.0,23442.70102471322,805.0762598894516,,,23432.937750704652,802.1414818201971,,,23531.532119846226,792.6162205748511,,
2020-07-01,40.0,1,15482.0,522.0,24013.0,23972.64022811252,814.9355739574247,,,23960.295409673938,812.2353359666997,,,24048.190030735423,802.7342141598051,,
2020-08-01,41.0,1,15813.0,368.0,24381.0,24510.51213387725,829.3108253032832,,,24495.659098662873,826.6525307507609,,,24572.950114454412,817.1174733400256,,
2020-09-01,42.0,1,15983.0,691.0,25072.0,25051.891969855635,839.3577435288804,,,25034.328312975435,836.4665513254151,,,25101.11665959243,826.9035204184107,,
2020-10-01,43.0,1,16414.0,983.0,26055.0,25605.360261575202,858.0278337064901,,,25584.85979508422,854.877500131071,,,25641.290283610288,845.3315978109996,,
2020-11-01,44.0,1,17244.0,510.0,26565.0,26178.22066821685,884.1485442026367,,,26154.80697851886,880.9860938038267,,,26200.97352144285,871.4081819655975,,
2020-12-01,45.0,1,17530.0,461.0,27026.0,26757.465577603733,897.4973953204172,,,26731.687233879427,894.8480976185076,,,26767.76565962294,885.3212339028404,,
2021-01-01,46.0,1,17912.0,1298.0,28324.0,27341.615440229238,909.4443142721723,,,27314.242189073993,907.5360157182403,,,27340.531131388914,898.1851430274411,,
2021-02-01,47.0,1,18775.0,438.0,28762.0,27951.692682202396,942.4732895722282,,,27923.20040287578,941.0214807532084,,,27939.91122119164,931.7629552994499,,
2021-03-01,48.0,1,19036.0,1020.0,29782.0,28565.295684919107,953.4158492392114,,,28536.96935851083,953.2354173195337,,,28544.85402292498,944.6124192983755,,
2021-04-01,49.0,1,19764.0,767.0,30549.0,29196.52503227278,978.5018559924767,,,29168.192864827124,978.1516476311667,,,29167.358735872913,969.5287092898662,,
2021-05-01,50.0,1,20312.0,832.0,31381.0,29838.578540331226,996.999964882479,,,29810.348459324578,996.7576129872084,,,29801.018108867676,988.2512508559134,,
2021-06-01,51.0,1,20923.0,1677.0,33058.0,30492.537408816173,1016.710864410808,,,30464.892119092852,1016.9524584397311,,,30447.579691523304,1008.8569508817828,,
2021-07-01,52.0,1,22381.0,830.0,33888.0,31177.15350414922,1055.3183655816476,,,31150.230025105157,1055.704088400298,,,31123.72746220066,1046.3034833324646,,
2021-08-01,53.0,1,23082.0,996.0,34884.0,31871.999677097818,1073.8714219439687,,,31845.687019565736,1074.1549307541277,,,31810.138812168025,1064.7870906986293,,
2021-09-01,54.0,1,23876.0,1212.0,36096.0,32580.177074166822,1095.6499933720852,,,32554.54676913784,1096.0124590204994,,,32510.15699468306,1086.7387271681823,,
2021-10-01,55.0,1,24726.0,768.0,36864.0,33305.532901032784,1121.4378401326994,,,33280.98710857824,1122.2107613123599,,,33228.15363249187,1113.2274066520426,,
2021-11-01,56.0,1,25289.0,845.0,37709.0,34038.00568754182,1137.3730574416486,,,34015.35576952615,1138.970525064905,,,33954.814466590666,1130.6203938621827,,
2021-12-01,57.0,1,25868.0,1235.0,38944.0,34778.74303773537,1154.5424007190654,,,34757.82297629853,1155.9968989072006,,,34689.57747051325,1147.5566865170645,,
2022-01-01,58.0,1,26725.0,633.0,39577.0,35534.883620818146,1178.950886719689,,,35514.783684533315,1179.5166836023086,,,35438.27838051294,1170.4272146976389,,
2022-02-01,59.0,1,27132.0,960.0,40537.0,36294.026885428226,1191.1460807302071,,,36275.55730534801,1192.5320790477563,,,36191.439678607916,1183.9896700742727,,
2022-03-01,60.0,1,27798.0,1349.0,41886.0,37062.02831347172,1209.2332606886168,,,37048.9729603231,1214.4229502137532,,,36961.82518616322,1210.3701724112525,,
2022-04-01,61.0,1,28886.0,618.0,42504.0,37845.27847729589,1233.8187029923772,,,37835.643689928205,1237.0805529214144,,,37742.65509365772,1230.1802624794216,,
2022-05-01,62.0,1,29351.0,973.0,43477.0,38629.94533005584,1244.7574795789492,,,38626.39113677651,1250.7209421376233,,,38531.835935453375,1248.0238610185706,,
